Language_ID	AUTOTYP_area	Longitude	Latitude
baba1264	African Savannah	10.5216	6.11222
baba1266	African Savannah	10.2869	5.97863
baba1267	Southeast Asia	103.076	1.75414
baba1268	Oceania	157.149	-7.22281
baba1273	African Savannah	16.6925	12.7617
babi1235	Alaska-Oregon	-126.41	55.0997
babu1240	Oceania	120.585	24.0017
babu1242	Oceania	121.96	19.48
baca1243	Oceania	127.49	-0.62275
baca1245	African Savannah	7.552557	10.69472
baca1246	African Savannah	12.0416	9.53072
bact1239	Greater Mesopotamia	66.85	36.81
bada1257	Indic	76.5974	11.3094
bada1258	African Savannah	9.95	9.62456
bada1261	Oceania	120.319	-1.80249
bade1240	Indic	72.6823	35.2655
bade1248	African Savannah	10.6557	12.789
badi1246	S Australia	117.246	-29.0647
badi1247	S New Guinea	140.753	-8.85301
badj1244	S Australia	145.47	-28.79
badu1237	Southeast Asia	106.177	-6.35359
bady1239	African Savannah	-13.4759	12.6425
baeg1237	Oceania	160.771	-8.49014
bael1237	Oceania	160.721	-8.41627
baen1237	NE South America	-39.5552237	-15.352491
baet1237	Oceania	168.159	-15.2574
bafa1247	African Savannah	9.522	4.53307
bafa1249	African Savannah	10.4518	5.84612
bafi1243	African Savannah	11.0982	4.72603
bafo1235	S Africa	19.76	1.19
bafu1246	African Savannah	10.1194	6.14153
baga1270	African Savannah	-14.60521	10.76747
baga1271	African Savannah	-12.887	9.951
baga1272	African Savannah	-14.4756	10.4793
baga1273	African Savannah	-13.947	10.1286
baga1274	African Savannah	-13.9054	9.98865
baga1275	African Savannah	-14.6111	10.5271
baga1276	African Savannah	-12.07358	12.27246
bagh1249	Indic	77.0471	31.194
bagh1251	Indic	87.4994	24.6837
bagi1244	African Savannah	18.3467	8.81656
bagi1246	African Savannah	14.769495	11.52392
bago1245	African Savannah	1.41214	8.52697
bagr1243	Indic	75.06	31.4
bagu1251	N Coast New Guinea	137.914	-1.98844
bagu1252	N Coast New Guinea	145.632	-5.07778
bagv1239	Greater Mesopotamia	46.1041	42.3966
baha1256	Southeast Asia	104.449	23.0105
baha1257	Southeast Asia	115.332	0.30801
baha1258	N Coast New Guinea	132.637	-3.10628
baha1259	Greater Mesopotamia	50.580811	26.223615
baha1260	E North America	-77.390587	25.032149
bahi1252	Indic	86.3949	27.3323
bahi1254	N Coast New Guinea	142.832	-4.55527
bahn1262	Southeast Asia	108.471	14.0476
baho1237	Oceania	121.707	-2.22572
baib1251	N Coast New Guinea	141.345	-3.42672
baii1251	African Savannah	26.48246	7.57221
baik1238	Oceania	124.256	-9.32991
baim1244	Southeast Asia	103.952	33.1001
baim1245	N Coast New Guinea	145.606	-5.18943
bain1259	African Savannah	-16.0586	12.3128
bain1260	African Savannah	-15.9969	12.5053
bain1261	African Savannah	-16.229	12.8672
bais1242	African Savannah	10.7684	7.38023
bais1246	Greater Abyssinia	37.7681	6.44892
baja1265	Mesoamerica	-59.5346	13.1365
baje1238	Greater Mesopotamia	42.9867	33.9498
baka1272	African Savannah	13.7804	2.16013
baka1273	African Savannah	9.80402	4.79991
baka1274	African Savannah	29.59	4.65943
baka1277	NE South America	-54.7034	-14.2628
bakh1245	Greater Mesopotamia	49.7713	32.0163
baki1244	Oceania	168.165	-16.7096
bako1249	African Savannah	9.99905	3.56518
bako1250	African Savannah	8.97387	4.43654
bakp1238	African Savannah	8.26321	5.26756
baku1263	Southeast Asia	114.77	-1.98842
bakw1243	African Savannah	-6.51077	5.23123
bala1301	African Savannah	-15.3221	11.8203
bala1302	African Savannah	-15.6658	12.5382
bala1306	Southeast Asia	110.913	1.33476
bala1310	Oceania	121.272	17.0994
bala1311	Oceania	121.686646	6.011614
bala1314	Oceania	119.689	-0.05644
bala1315	Oceania	123.289	-0.86809
bala1316	Oceania	164.2	-20.25
bald1241	African Savannah	14.4674	10.9078
bali1245	African Savannah	11.2952	8.81345
bali1274	S Africa	26.5941	1.1807
bali1278	Southeast Asia	115.075	-8.35714
bali1279	Southeast Asia	114.648391	-8.355884
balk1252	Europe	21.17	42.67
balk1254	Europe	24.44567	41.170545
balo1261	S Africa	18.1266	0.93777
balo1264	African Savannah	9.69365	6.12552
balt1257	Inner Asia	38	60
balt1258	Indic	77.2859	34.4491
balu1257	N Coast New Guinea	147.282	-2.5604
bama1249	African Savannah	-8.00136	12.651
bama1251	African Savannah	10.4567	5.91327
bamb1262	Greater Abyssinia	34.6522	9.82554
bamb1265	African Savannah	10.544	5.861
bamb1266	African Savannah	10.2233	6.10821
bamb1269	African Savannah	-7.65	12.9
bamb1270	Oceania	119.201	-3.02759
